Index,Entity,Values
0,  Manuscripts department,0.331111392
1,"# ReOpenAmerica Planning Guide"".Protesters",0.194897721
2,$1.78 billion foreign exchange spots,0.324470758
3,% difference,0.251106576
4,.loc file extension,0.344725087
5,/WHO,0.200447077
6,0.40%,0.206867025
7,0.90%,0.181453588
8,1 million people,0
9,1 percent,0.354653295
10,"1,325, 1,064 and 800 attendees",0.269354244
11,1.Middle East respiratory syndrome-related coronavirus,0.278015049
12,10 meter,0.248580228
13,11.7 billion fiscal stimulus package,0.211791115
14,12%,0.355178438
15,14 % reduced risk,0.276732485
16,1500 persons,0.354362563
17,17.6 billion fiscal stimulus package,0.351698751
18,1815 Congress,0.309089471
19,"19-year old trainee died.""Several adenoviruses",0.260387411
20,1980 St. Pauls riot,0
21,19th century black Britons,0
22,1TB,0.219293535
23,2-aminoisobutyric acid,0.330778782
24,2.1 to 4.21 million deaths,0.330240309
25,2000 protesters,0.237802385
26,2005 report,0.290884336
27,2013 phylogenomic study,0.298934006
28,2016 meta analysis,0.223527849
29,2017 43rd G7 summit,0.243872619
30,21%,0.306644341
31,22 species,0.219051616
32,23 billion fiscal stimulus package,0.207668798
33,23 billion fiscal stimulus packagea 23 billion fiscal stimulus package,0.225004206
34,23%,0.258407969
35,293 London residents,0.287064731
36,3%,0.338370126
37,"3,500 patients",0.25008008
38,30-day travel ban,0.25534958
39,358 million people,0.349599692
40,365 African Americans,0.390053118
41,4 against approval,0.253389808
42,4.5 billion fiscal stimulus program,0.287670442
43,40 of Michael Fuller 45 contests,0
44,45%,0.262973455
45,"499,964 people",0
46,5 10 %,0
47,"5,000 stool samples",0.286450302
48,50 % reduction,0.297952331
49,"50,000",0.323358939
50,50–100 ml,0.269897888
51,51%,0
52,62.5 per cent,0.341610374
53,620 points,0.329995557
54,627 in the PB2 protein,0.307523307
55,65%,0.212943231
56,742 million fiscal stimulus program,0.285104667
57,75%,0.181170577
58,8.1,0.172490967
59,8.x,0.209995053
60,80 of these 106 persons,0.24200137
61,84 and 88%,0.324341437
62,88%,0.24546568
63,900 records,0.23345055
64,A$2.4 billion,0.346546736
65,ABO,0.325029166
66,ABO hemolytic disease,0.221784555
67,ABPA,0.295095706
68,ACE2,0.260246805
69,ACE2 protein,0.263071296
70,ACE2 receptor,0.179209003
71,ADCC,0.30721057
72,AKI,0.277749447
73,ALI,0.218461562
74,ARDS,0.333757123
75,ARDSNet,0.286359456
76,Aalmi Mashwara,0.233291474
77,Abolition,0
78,About 10%,0.334586274
79,About 2/3,0.323782155
80,Accidental intravenous overdose,0.173650112
81,Activists,0.326372935
82,Acute bronchitis,0.168727447
83,Acute kidney injury,0.264443667
84,Additional common findings,0.331262842
85,Address locator files,0.287236793
86,Adenoviruses,0.399299195
87,Adrian Lester,0
88,Adults,0.298402104
89,Advancing Union troops,0.233832349
90,Aerosol generating procedures,0.393277018
91,African American,0.261781049
92,African American authors,0.233788294
93,African Americans,0.245751067
94,African-American inventors,0.167609908
95,African-American men,0.230098512
96,African-American networks,0.329119376
97,African-American women,0.316194415
98,Africans,0.183186967
99,Aging,0.306827026
100,Ai Fen,0.299001449
101,Air pollution,0.261576164
102,Air pollution exposure,0.283030002
103,Airborne diseases,0.263621274
104,Airborne pathogens,0.291232651
105,Alabama,0.351748375
106,Alain Resnais,0.189755756
107,Alcohol,0.270770845
108,American Society of Microbiology).Endospores,0.359795996
109,American historian Ira Berlin,0.296548856
110,American public health,0.294487805
